Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-03-04,1.5826,1.59279,1.57119,1.58643
2020-03-05,1.58116,1.58537,1.553,1.56073
2020-03-06,1.55995,1.60064,1.54951,1.57115
2020-03-09,1.55499,1.5934,1.54642,1.57879
2020-03-10,1.58231,1.59824,1.57391,1.58671
2020-03-11,1.58751,1.59509,1.57056,1.59014
2020-03-12,1.58783,1.63643,1.56871,1.61781
2020-03-13,1.61818,1.6784,1.59546,1.65861
2020-03-16,1.6498,1.74842,1.63231,1.67704
2020-03-17,1.66536,1.6909,1.58332,1.60982
2020-03-18,1.60583,1.6528,1.59701,1.63149
2020-03-19,1.63634,1.64655,1.57246,1.59833
2020-03-20,1.59917,1.59959,1.56132,1.5783
2020-03-23,1.5836,1.60331,1.49418,1.49696
2020-03-24,1.48825,1.50773,1.43082,1.431
2020-03-25,1.43857,1.48655,1.4304,1.47548
2020-03-26,1.47857,1.50986,1.46626,1.49288
2020-03-27,1.49717,1.51675,1.48564,1.51505
2020-03-30,1.5032,1.51745,1.488,1.50036
2020-03-31,1.49734,1.53766,1.48621,1.53766
2020-04-01,1.53564,1.54144,1.49209,1.49923
2020-04-02,1.49555,1.50641,1.46403,1.47008
2020-04-03,1.46911,1.47583,1.45248,1.45313
2020-04-06,1.45701,1.46435,1.4163,1.42223
2020-04-07,1.42178,1.46844,1.41222,1.4589
2020-04-08,1.4594,1.46241,1.44511,1.45636
2020-04-09,1.45723,1.45923,1.42115,1.42798
2020-04-13,1.42656,1.43386,1.38823,1.39938
2020-04-14,1.39415,1.41098,1.38228,1.40638
2020-04-15,1.40661,1.41288,1.38747,1.40014
2020-04-16,1.39953,1.40265,1.37971,1.38985
2020-04-17,1.39566,1.43049,1.39539,1.42774
2020-04-20,1.43042,1.43772,1.41222,1.41637
2020-04-21,1.41651,1.43828,1.40779,1.42033
2020-04-22,1.41868,1.42691,1.38204,1.38803
2020-04-23,1.38804,1.39081,1.36782,1.37137
2020-04-24,1.37141,1.39123,1.366,1.37869
2020-04-27,1.38069,1.40007,1.38048,1.39368
2020-04-28,1.39403,1.40846,1.39139,1.39369
2020-04-29,1.39285,1.40652,1.3925,1.39653
2020-04-30,1.39589,1.43225,1.38876,1.42805
2020-05-01,1.42873,1.44126,1.40824,1.4147
2020-05-04,1.41146,1.41758,1.39735,1.40943
2020-05-05,1.40913,1.41528,1.39632,1.40088
2020-05-06,1.40027,1.41254,1.3945,1.40762
2020-05-07,1.40925,1.40989,1.38015,1.38666
2020-05-08,1.38508,1.39984,1.37963,1.39502
2020-05-11,1.39893,1.40176,1.38951,1.39635
2020-05-12,1.39689,1.4048,1.38936,1.3948
2020-05-13,1.39631,1.39835,1.37852,1.37995
2020-05-14,1.38065,1.38317,1.36057,1.36891
2020-05-15,1.36952,1.3712,1.35119,1.35874
2020-05-18,1.35663,1.38412,1.34177,1.38109
2020-05-19,1.38026,1.39103,1.37404,1.37598
2020-05-20,1.37502,1.39153,1.37197,1.38497
2020-05-21,1.38541,1.41045,1.38402,1.40451
2020-05-22,1.40518,1.4062,1.38549,1.39223
2020-05-25,1.39114,1.40486,1.39055,1.39804
2020-05-26,1.40024,1.45093,1.39849,1.44448
2020-05-27,1.4458,1.46288,1.43999,1.45334
2020-05-28,1.45139,1.45645,1.43706,1.44594
2020-05-29,1.44699,1.45187,1.43236,1.44128
2020-06-01,1.44256,1.45699,1.43762,1.45411
2020-06-02,1.45406,1.47969,1.44954,1.4741
