Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-03-05,2.04917,2.05375,2.03809,2.04047
2019-03-06,2.04054,2.04904,2.03522,2.04549
2019-03-07,2.04524,2.05257,2.01476,2.01961
2019-03-08,2.01777,2.01932,2.006,2.00836
2019-03-11,2.01418,2.02489,2.01015,2.02157
2019-03-12,2.02583,2.02634,2.01533,2.01824
2019-03-13,2.01906,2.01922,2.00653,2.01358
2019-03-14,2.01328,2.03081,2.01171,2.02651
2019-03-15,2.02679,2.03119,2.01568,2.02284
2019-03-18,2.02292,2.03067,2.02077,2.0264
2019-03-19,2.02637,2.02931,2.0183,2.02721
2019-03-20,2.02618,2.04001,2.02454,2.03344
2019-03-21,2.03128,2.03191,2.01627,2.02715
2019-03-22,2.02766,2.03019,1.99705,2.00146
2019-03-25,2.00173,2.00352,1.99146,1.9949
2019-03-26,1.99425,2.00767,1.99246,1.99535
2019-03-27,1.99584,2.00385,1.98792,2.00104
2019-03-28,2.00103,2.02637,1.99649,2.02524
2019-03-29,2.02432,2.03322,2.00907,2.01649
2019-04-01,2.01945,2.02836,2.01398,2.02766
2019-04-02,2.02621,2.02726,2.0146,2.01728
2019-04-03,2.01782,2.03261,2.01716,2.02978
2019-04-04,2.03097,2.03941,2.02164,2.02508
2019-04-05,2.02444,2.03748,2.02115,2.02409
2019-04-08,2.02292,2.02655,2.01341,2.02334
2019-04-09,2.02422,2.02519,2.01354,2.01368
2019-04-10,2.01548,2.02201,2.00893,2.01563
2019-04-11,2.01325,2.03716,2.01238,2.03191
2019-04-12,2.03314,2.04883,2.03264,2.04631
2019-04-15,2.04534,2.06333,2.04457,2.05155
2019-04-16,2.05297,2.07559,2.05172,2.06779
2019-04-17,2.06793,2.07843,2.06583,2.07479
2019-04-18,2.0768,2.08125,2.05724,2.05727
2019-04-22,2.05872,2.06382,2.05247,2.06196
2019-04-23,2.06094,2.06697,2.05587,2.06005
2019-04-24,2.05829,2.06319,2.03358,2.03556
2019-04-25,2.03494,2.03792,2.02315,2.0316
2019-04-26,2.03105,2.03332,2.01578,2.01841
2019-04-29,2.0172,2.03774,2.01711,2.03561
2019-04-30,2.03503,2.04525,2.02845,2.03905
2019-05-01,2.03918,2.05391,2.0382,2.04632
2019-05-02,2.04687,2.06593,2.04594,2.05126
2019-05-03,2.05149,2.05313,2.03816,2.04869
2019-05-06,2.03683,2.04673,2.03169,2.04123
2019-05-07,2.04029,2.04328,2.02532,2.03523
2019-05-08,2.03128,2.03864,2.01951,2.0349
2019-05-09,2.03623,2.03668,2.0227,2.03183
2019-05-10,2.03225,2.03594,2.02815,2.03224
2019-05-13,2.03042,2.037,2.00425,2.00627
2019-05-14,2.00568,2.01311,2.00157,2.00678
2019-05-15,2.00506,2.01122,1.99386,2.009
2019-05-16,2.00966,2.02458,2.00788,2.01802
2019-05-17,2.01849,2.03332,2.01369,2.02711
2019-05-20,2.0291,2.03752,2.02733,2.03429
2019-05-21,2.03355,2.03929,2.02792,2.03281
2019-05-22,2.03349,2.03766,2.03013,2.03275
2019-05-23,2.03449,2.03471,2.01095,2.02331
2019-05-24,2.02822,2.03498,2.02192,2.03254
2019-05-27,2.03298,2.03298,2.02531,2.03044
2019-05-28,2.03004,2.04233,2.02636,2.03206
2019-05-29,2.03102,2.03148,2.01705,2.02296
2019-05-30,2.02587,2.03557,2.0128,2.0128
2019-05-31,2.0133,2.01519,1.99574,1.99799
