"CZAS";"PM10 Pył zawieszony PM10  [µg/m3]";"BaP (PM1 benzo(a)piren w PM10  [ng/m3]";"Pb (PM1 ołów w PM10  [µg/m3]";"As (PM1 arsen w PM10  [ng/m3]";"Cd (PM1 kadm w PM10  [ng/m3]";"Ni (PM1 nikiel w PM10  [ng/m3]";"BaA (PM1 benzo(a)antracen w PM10  [ng/m3]";"BbF (PM1 benzo(b)fluoranten w PM10  [ng/m3]";"BjF (PM1 benzo(j)fluoranten w PM10  [ng/m3]";"BkF (PM1 benzo(k)fluoranten w PM10  [ng/m3]";"DBahA (PM1 dibenzo(a,h)antracen w PM10  [ng/m3]";"IP (PM1 indeno(1,2,3-cd)piren w PM10  [ng/m3]"
"Styczeń";"35";"4,56";"0,019";"3,18";"0,40";"4,92";"4,97";"6,94";"3,92";"2,88";"0,70";"2,66"
"Luty";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Marzec";"27";"1,52";"0,015";"3,57";"0,21";"1,77";"1,48";"2,02";"1,45";"0,90";"0,27";"1,20"
"Kwiecień";"31";"1,14";"0,011";"1,04";"0,29";"1,92";"1,15";"1,76";"0,92";"0,72";"0,22";"0,83"
"Maj";"17";"0,33";"0,009";"1,72";"0,18";"1,19";"0,32";"0,61";"0,19";"0,29";"0,10";"0,34"
"Czerwiec";"21";"0,05";"0,009";"1,52";"0,19";"1,09";"0,31";"0,20";"0,07";"0,05";"0,05";"0,05"
"Lipiec";"19";"0,13";"0,012";"1,85";"0,13";"2,85";"0,05";"0,05";"0,05";"0,05";"0,05";"0,06"
"Sierpień";"18";"0,10";"0,009";"1,99";"0,17";"0,77";"0,05";"0,07";"0,06";"0,05";"0,05";"0,09"
"Wrzesień";"19";"0,37";"0,007";"1,52";"0,35";"0,68";"0,19";"0,54";"0,35";"0,18";"0,07";"0,32"
"Październik";"26";"1,44";"0,012";"1,60";"0,35";"1,41";"1,13";"1,73";"1,18";"0,76";"0,30";"1,56"
"Listopad";"30";"3,35";"0,016";"2,41";"0,51";"1,23";"3,02";"4,37";"2,59";"2,04";"0,62";"2,36"
"Grudzień";"28";"2,92";"0,012";"1,97";"0,35";"1,02";"2,90";"4,53";"2,67";"1,83";"0,45";"2,51"
"wartość średnia";"26 (poz. dop.: 40 µg/m3)";"1,64 (poz. doc.: 1 ng/m3)";"0,013 (poz. dop.: 0.5 µg/m3)";"2,26 (poz. doc.: 6 ng/m3)";"0,29 (poz. doc.: 5 ng/m3)";"1,76 (poz. doc.: 20 ng/m3)";"1,58";"2,32";"1,34";"0,99";"0,29";"1,19"
"minimum";"17";"0,05";"0,007";"1,04";"0,13";"0,68";"0,05";"0,05";"0,05";"0,05";"0,05";"0,05"
"maksimum";"35";"4,56";"0,019";"3,57";"0,51";"4,92";"4,97";"6,94";"3,92";"2,88";"0,70";"2,66"
