"CZAS";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"BaP (PM1 benzo(a)piren w PM10  [ng/m3]";"Pb (PM1 ołów w PM10  [µg/m3]";"As (PM1 arsen w PM10  [ng/m3]";"Cd (PM1 kadm w PM10  [ng/m3]";"Ni (PM1 nikiel w PM10  [ng/m3]";"BaA (PM1 benzo(a)antracen w PM10  [ng/m3]";"BbF (PM1 benzo(b)fluoranten w PM10  [ng/m3]";"BjF (PM1 benzo(j)fluoranten w PM10  [ng/m3]";"BkF (PM1 benzo(k)fluoranten w PM10  [ng/m3]";"DBahA (PM1 dibenzo(a,h)antracen w PM10  [ng/m3]";"IP (PM1 indeno(1,2,3-cd)piren w PM10  [ng/m3]"
"01.01";"27";"6,67";"0,022";"2,69";"0,36";"0,91";"5,01";"8,40";"6,14";"4,08";"1,02";"3,19"
"02.01";"82";"6,67";"0,022";"2,69";"0,36";"0,91";"5,01";"8,40";"6,14";"4,08";"1,02";"3,19"
"03.01";"51";"6,67";"0,022";"2,69";"0,36";"0,91";"5,01";"8,40";"6,14";"4,08";"1,02";"3,19"
"04.01";"11";"6,67";"0,022";"2,69";"0,36";"0,91";"5,01";"8,40";"6,14";"4,08";"1,02";"3,19"
"05.01";"18";"6,67";"0,022";"2,69";"0,36";"0,91";"5,01";"8,40";"6,14";"4,08";"1,02";"3,19"
"06.01";"21";"2,63";"0,014";"3,56";"0,23";"0,60";"1,70";"3,37";"2,33";"1,96";"0,32";"0,24"
"07.01";"29";"2,63";"0,014";"3,56";"0,23";"0,60";"1,70";"3,37";"2,33";"1,96";"0,32";"0,24"
"08.01";"23";"2,63";"0,014";"3,56";"0,23";"0,60";"1,70";"3,37";"2,33";"1,96";"0,32";"0,24"
"09.01";"21";"2,63";"0,014";"3,56";"0,23";"0,60";"1,70";"3,37";"2,33";"1,96";"0,32";"0,24"
"10.01";"25";"2,63";"0,014";"3,56";"0,23";"0,60";"1,70";"3,37";"2,33";"1,96";"0,32";"0,24"
"11.01";"10";"2,63";"0,014";"3,56";"0,23";"0,60";"1,70";"3,37";"2,33";"1,96";"0,32";"0,24"
"12.01";"23";"2,63";"0,014";"3,56";"0,23";"0,60";"1,70";"3,37";"2,33";"1,96";"0,32";"0,24"
"13.01";"29";"6,74";"0,018";"2,36";"0,44";"1,48";"4,76";"7,96";"7,18";"4,22";"0,98";"3,51"
"14.01";"31";"6,74";"0,018";"2,36";"0,44";"1,48";"4,76";"7,96";"7,18";"4,22";"0,98";"3,51"
"15.01";"31";"6,74";"0,018";"2,36";"0,44";"1,48";"4,76";"7,96";"7,18";"4,22";"0,98";"3,51"
"16.01";"52";"6,74";"0,018";"2,36";"0,44";"1,48";"4,76";"7,96";"7,18";"4,22";"0,98";"3,51"
"17.01";"84";"6,74";"0,018";"2,36";"0,44";"1,48";"4,76";"7,96";"7,18";"4,22";"0,98";"3,51"
"18.01";"35";"6,74";"0,018";"2,36";"0,44";"1,48";"4,76";"7,96";"7,18";"4,22";"0,98";"3,51"
"19.01";"32";"6,74";"0,018";"2,36";"0,44";"1,48";"4,76";"7,96";"7,18";"4,22";"0,98";"3,51"
"20.01";"34";"7,62";"0,025";"7,23";"0,45";"1,42";"5,93";"9,23";"5,65";"4,47";"1,12";"3,99"
"21.01";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"22.01";"26";"7,62";"0,025";"7,23";"0,45";"1,42";"5,93";"9,23";"5,65";"4,47";"1,12";"3,99"
"23.01";"33";"7,62";"0,025";"7,23";"0,45";"1,42";"5,93";"9,23";"5,65";"4,47";"1,12";"3,99"
"24.01";"62";"7,62";"0,025";"7,23";"0,45";"1,42";"5,93";"9,23";"5,65";"4,47";"1,12";"3,99"
"25.01";"56";"7,62";"0,025";"7,23";"0,45";"1,42";"5,93";"9,23";"5,65";"4,47";"1,12";"3,99"
"26.01";"87";"7,62";"0,025";"7,23";"0,45";"1,42";"5,93";"9,23";"5,65";"4,47";"1,12";"3,99"
"27.01";"58";"2,60";"0,009";"1,87";"0,18";"0,85";"1,98";"3,51";"2,88";"1,69";"0,30";"1,42"
"28.01";"23";"2,60";"0,009";"1,87";"0,18";"0,85";"1,98";"3,51";"2,88";"1,69";"0,30";"1,42"
"29.01";"12";"2,60";"0,009";"1,87";"0,18";"0,85";"1,98";"3,51";"2,88";"1,69";"0,30";"1,42"
"30.01";"14";"2,60";"0,009";"1,87";"0,18";"0,85";"1,98";"3,51";"2,88";"1,69";"0,30";"1,42"
"31.01";"13";"2,60";"0,009";"1,87";"0,18";"0,85";"1,98";"3,51";"2,88";"1,69";"0,30";"1,42"
"wartość średnia";"35";"5,26";"0,018";"3,59";"0,34";"1,06";"3,86";"6,47";"4,85";"3,30";"0,75";"2,44"
"minimum";"10";"2,60";"0,009";"1,87";"0,18";"0,60";"1,70";"3,37";"2,33";"1,69";"0,30";"0,24"
"maksimum";"87";"7,62";"0,025";"7,23";"0,45";"1,48";"5,93";"9,23";"7,18";"4,47";"1,12";"3,99"
