Dzien lacznie dzienny_przyrost
4-03 1 1
5-03 1 0
6-03 5 4
9-03 17 6
10-03 22 5
11-03 31 9
12-03 51 20
13-03 68 17
16-03 177 52
17-03 238 61
18-03 287 49
19-03 355 68
20-03 425 70
23-03 749 115
24-03 901 152
25-03 1051 150
26-03 1221 170
27-03 1389 168
30-03 2055 193
31-03 2311 256
1-04 2554 243
2-04 2946 392
3-04 3383 437
6-04 4413 311
7-04 4848 435
8-04 5205 357
9-04 5575 370
14-04 7202 268
15-04 7582 380
16-04 7918 336
17-04 8379 461
20-04 9593 306
21-04 9856 263
22-04 10169 313
23-04 10511 342
24-04 10892 381
27-04 11902 285
28-04 12218 316
29-04 12640 422
30-04 12877 300
4-05 14006 313
5-05 14431 425
6-05 14740 311
7-05 15047 324
8-05 15366 340
11-05 16326 330
12-05 16921 595
13-05 17204 322
14-05 17615 411
15-05 18016 401
18-05 18885 356
19-05 19268 383
20-05 19739 471
21-05 20143 405
22-05 20619 476
25-05 21631 341
26-05 22074 445
27-05 22473 399
28-05 22825 352
29-05 23158 333
1-06 24165 380
2-06 24395 236
3-06 24687 292
4-06 25048 361
5-06 25410 362
8-06 27160 599
9-06 27560 400
10-06 27842 282
12-06 28577 376
15-06 29788 396
16-06 30195 407
17-06 30701 506
18-06 31015 314
19-06 31316 352
22-06 32227 296
23-06 32527 300
24-06 32821 294
25-06 33119 298
26-06 33395 285
29-06 34154 247
30-06 34393 239
1-07 34775 382
2-07 35146 371
3-07 35405 259
6-07 36155 205
7-07 36412 257
8-07 36689 277
9-07 36951 262
10-07 37216 265
13-07 38190 299
14-07 38457 267
15-07 38721 264
16-07 39054 333
17-07 39407 353
20-07 40383 279
21-07 40782 399
22-07 41162 380
23-07 41580 418
24-07 42038 458
27-07 43402 337
28-07 43904 502
29-07 44416 512
30-07 45031 615
31-07 45688 657
3-08 47469 575
4-08 48149 680
5-08 48789 640
6-08 49515 726
7-08 50324 809
10-08 52410 619
11-08 52961 551
12-08 53676 715
13-08 54487 811
14-08 55312 832
17-08 57279 595
18-08 57876 597
19-08 58611 735
20-08 59378 767
21-08 60281 903
24-08 62310 548
25-08 63073 763
26-08 63802 729
27-08 64689 887
28-08 65480 791
31-08 67372 502
1-09 67922 550
2-09 68517 595
3-09 69129 612
4-09 69820 691
7-09 71126 302
8-09 71526 400
9-09 71947 421
10-09 72453 506
11-09 73047 594
14-09 74529 377
15-09 75134 605
16-09 75734 600
17-09 76571 837
18-09 77328 757
21-09 79988 748
22-09 80699 711
23-09 81673 974
24-09 82809 1136
25-09 84396 1587
28-09 88636 1306
29-09 89962 1326
30-09 91514 1552
1-10 93481 1967
2-10 95773 2292
5-10 102080 2006
6-10 104316 2236
7-10 107319 3003
8-10 111599 4280
9-10 116338 4739
12-10 130210 4394
13-10 135278 5068
14-10 141804 6526
15-10 149903 8099
16-10 157608 7705
19-10 183243 7482
20-10 192539 9291
21-10 202579 10040
22-10 214686 12107
23-10 228318 13632
26-10 263929 10241
27-10 280229 16300
28-10 299049 18820
29-10 319205 20156
30-10 340834 21628
2-11 395480 15578
3-11 414844 19364
4-11 439536 24692
5-11 466679 27143
6-11 493765 27086
9-11 568138 21713
10-11 593592 25484
12-11 641496 22683
13-11 665547 24051
16-11 733788 20816
17-11 752940 19152
18-11 772823 19883
19-11 796798 23975
20-11 819262 22464
23-11 876333 15002
24-11 909066 10139
25-11 924428 15362
26-11 941112 16687
27-11 958416 17060
30-11 990811 5733
1-12 999924 9105
2-12 1013747 13855
3-12 1028610 14838
4-12 1041846 13239
7-12 1067870 4423
8-12 1076180 8312
9-12 1088346 12168
10-12 1102096 13749
11-12 1115201 13110
14-12 1140572 4896
15-12 1147446 6907
16-12 1159901 12454
17-12 1171854 11953
18-12 1182864 11013
21-12 1207333 4633
22-12 1214525 7192
23-12 1226883 12361
28-12 1261010 3211
29-12 1268634 7914
30-12 1281414 12955
4-01 1322947 4432
5-01 1330543 7624
7-01 1356882 12054
8-01 1365645 8790
11-01 1395779 5569
12-01 1404905 9053
13-01 1414362 9436
14-01 1422320 7795
15-01 1429612 7412
18-01 1443804 4835
19-01 1450747 6919
20-01 1457755 7152
21-01 1464448 6640
22-01 1470879 6322
25-01 1482722 4604
26-01 1489512 6789
27-01 1496665 7156
28-01 1502810 6144
29-01 1508674 5864
1-02 1520215 4326
2-02 1527016 6802
3-02 1533511 6496
4-02 1539564 6053
5-02 1545530 6026
8-02 1556685 4029
9-02 1563645 6930
10-02 1570658 7008
11-02 1577036 6379
12-02 1583621 6586
15-02 1596673 5178
16-02 1605372 8694
17-02 1614446 9073
18-02 1623218 8777
19-02 1631727 8510
22-02 1648962 6310
23-02 1661109 12146
24-02 1673252 12142
25-02 1684788 11539
26-02 1696885 12100
1-03 1719708 7937
2-03 1735406 15698
3-03 1735406 15698
