dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
2074,51,14224874,8133810,6383,1282
2294,16,14224874,8312524,7908,753
2767,24,14224874,8490650,9970,681
3662,14,14224874,8669046,12960,658
4638,20,14224874,8848378,16874,704
6082,17,14224874,9026628,22240,699
7856,13,14224874,9204961,29417,666
10661,59,14224874,9383905,38113,1906
13568,68,14224874,9562360,49418,2195
17697,96,14224874,9741113,64379,2640
22812,103,14224874,9919613,83600,3488
29497,142,14224874,10098317,108541,4414
37692,168,14224874,10276019,140270,5795
49096,238,14224874,10454022,181669,7459
63307,306,14224874,10632464,234502,10168
81459,355,14806182,10809754,302625,12981
103266,496,15386190,10987190,388476,16919
129968,656,15962520,11164875,496075,21713
162651,878,16537403,11341419,629675,28173
203199,1053,17108358,11518163,795798,36023
250443,1443,17673161,11694830,998154,46644
307996,1854,18232642,11870053,1243851,60445
374616,2293,18784460,12044141,1538451,77723
450344,3002,19325566,12218153,1887234,98559
536458,3737,19855268,12390303,2295844,124111
632446,4557,20372036,12561062,2768006,155727
736365,5957,20873048,12730143,3304484,193930
845699,7025,21356067,12897336,3903422,239736
955928,8904,21820942,13062870,4555825,294621
1065865,10664,22264126,13226167,5252094,358932
1169925,12798,22684389,13387207,5977902,431319
1266774,15645,23081969,13546903,6714725,514306
1348695,18178,23456167,13705033,7438498,606744
1412464,21365,23807723,13861142,8122956,706641
1467490,24399,24137372,14016430,8753195,812852
1503779,27805,24447720,14042993,9309223,919946
1532674,30305,24740517,14070192,9784548,1027044
1553656,33553,25019268,14096374,10176537,1128114
1565132,36677,25286994,14121497,10482764,1222228
1569298,38804,25544920,14144079,10710452,1302806
1568273,41137,25797350,14162635,10870748,1366840
1565877,42599,26045487,14176609,10973730,1420296
1558084,43992,26290649,14185101,11031415,1456407
1548729,44722,26533282,14187043,11050153,1485269
1537266,44932,26774762,14188619,11034452,1508035
1523437,45704,27015700,14190288,10993949,1518236
1509290,45840,27255984,14191886,10934333,1523066
1493967,46008,27496347,14193382,10860041,1522251
1478042,45463,27736538,14194639,10772282,1520338
1462397,45569,27976854,14195697,10675309,1513801
1441749,44788,28218131,14546368,10568147,1504123
1404522,44967,28218201,14920629,10434968,1492734
1381756,44841,28218251,15318498,10291900,1479983
1357082,44200,28218292,15741866,10137845,1466937
1323721,43454,28218330,16187493,9966634,1451478
1290924,43319,28218379,16654707,9779003,1435236
1256073,42689,28218403,17143439,9571129,1421258
1217318,42077,28218432,17651526,9345304,1401066
1177354,40983,28218464,18176195,9115501,1366174
1136002,40405,28218464,18695593,8868005,1343093
1095617,39365,28218464,19208476,8604513,1319744
1053603,38675,28218464,19712049,8331494,1287947
1013283,37568,28218464,20202958,8051161,1256048
976757,36429,28218464,20680826,7768654,1222835
940378,35585,28218464,21142188,7488969,1184478
903789,34310,28218464,21586663,7212340,1146108
868020,33364,28218464,22012421,6941283,1105713
831314,32013,28218464,22417150,6673722,1066862
800019,30632,28218464,22800060,6416649,1026460
766529,29296,28218464,23162278,6167269,986613
736264,28510,28218464,23503487,5923332,951691
707238,27366,28218464,23825354,5687340,915864
681397,26235,28218464,24131073,5461852,880650
652545,25495,28218464,24422465,5243518,845384
627718,24373,28218464,24700573,5037745,809118
602549,23351,28218464,24969516,4837186,779757
578896,22445,28218464,25230296,4647034,746603
557484,21635,28218464,25485071,4466237,716646
535748,20725,28218464,25734698,4292531,688729
514440,20111,28218464,25981270,4123443,663417
494183,19229,28218464,26225749,3962423,635974
474060,18519,28218464,26467986,3806615,611349
