dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
624,41,14583016,8135190,4936,1289
553,17,14761112,8313286,4779,693
538,24,14939774,8491948,4594,699
506,28,15117908,8670082,4386,686
509,25,15296943,8849117,4208,662
462,11,15476018,9028192,3960,699
390,21,15655240,9207414,3648,681
398,15,15834445,9386619,3415,616
382,16,16013411,9565585,3232,549
352,14,16191250,9743424,3040,530
321,16,16369965,9922139,2854,491
309,22,16549225,10101399,2643,498
276,17,16727939,10280113,2473,429
277,11,16906889,10459063,2347,392
236,9,17085813,10637987,2186,388
253,14,17264793,10816967,2055,370
233,9,17443436,10995610,1928,351
205,14,17622553,11174727,1830,289
179,6,17800556,11352730,1684,319
159,9,17980011,11532185,1567,267
156,8,18158333,11710507,1442,273
163,10,18337228,11889402,1366,229
136,5,18516631,12068805,1256,241
112,4,18694875,12247049,1121,243
125,3,18873562,12425736,1054,189
115,1,19052265,12604439,980,188
96,9,19231087,12783261,917,150
98,2,19409625,12961799,861,152
86,5,19588557,13140731,782,160
75,5,19767497,13319671,716,136
60,3,19946050,13498224,668,105
68,2,20124854,13677028,606,128
62,2,20303246,13855420,554,112
49,2,20481432,14033606,509,92
53,7,20660927,14213101,463,92
47,4,20660930,14213104,419,87
43,4,20660933,14213107,386,72
37,3,20660934,14213108,364,56
34,1,20660934,14213108,330,67
36,1,20660935,14213109,304,61
37,2,20660935,14213109,288,51
27,3,20660935,14213109,265,47
26,0,20660935,14213109,244,47
26,1,20660935,14213109,227,42
24,1,20660935,14213109,212,38
22,1,20660935,14213109,201,32
24,1,20660935,14213109,186,38
18,5,20660935,14213109,168,31
14,1,20660935,14213109,155,26
23,1,20660935,14213109,153,24
12,3,20660935,14213109,139,23
11,1,20660935,14213109,128,21
14,2,20660935,14213109,121,19
8,1,20660935,14213109,100,28
14,1,20660935,14213109,97,16
7,2,20660935,14213109,90,12
10,2,20660935,14213109,78,20
7,0,20660935,14213109,72,13
9,0,20660935,14213109,71,10
7,1,20660935,14213109,64,13
7,0,20660935,14213109,61,10
2,0,20660935,14213109,51,12
8,1,20660935,14213109,52,6
3,0,20660935,14213109,43,12
5,0,20660935,14213109,41,7
6,0,20660935,14213109,40,7
3,0,20660935,14213109,34,9
2,0,20660935,14213109,30,6
5,0,20660935,14213109,32,3
3,0,20660935,14213109,27,8
1,0,20660935,14213109,25,3
2,0,20660935,14213109,22,5
1,0,20660935,14213109,17,6
3,0,20660935,14213109,18,2
3,0,20660935,14213109,18,3
2,0,20660935,14213109,15,5
1,0,20660935,14213109,13,3
2,0,20660935,14213109,14,1
3,0,20660935,14213109,15,2
3,0,20660935,14213109,17,1
1,0,20660935,14213109,15,3
2,0,20660935,14213109,14,3
1,0,20660935,14213109,13,2
2,0,20660935,14213109,14,1
3,0,20660935,14213109,15,2
5,0,20660935,14213109,17,3
0,0,20660935,14213109,14,3
1,0,20660935,14213109,14,1
1,0,20660935,14213109,14,1
2,0,20660935,14213109,14,2
1,0,20660935,14213109,13,2
0,0,20660935,14213109,10,3
0,0,20660935,14213109,6,4
1,0,20660935,14213109,6,1
0,0,20660935,14213109,5,1
0,0,20660935,14213109,4,1
0,0,20660935,14213109,3,1
1,0,20660935,14213109,3,1
0,0,20660935,14213109,2,1
0,0,20660935,14213109,2,0
1,0,20660935,14213109,2,1
0,0,20660935,14213109,2,0
0,0,20660935,14213109,2,0
1,0,20660935,14213109,3,0
0,0,20660935,14213109,2,1
0,0,20660935,14213109,2,0
0,0,20660935,14213109,2,0
0,0,20660935,14213109,1,1
0,0,20660935,14213109,1,0
0,0,20660935,14213109,1,0
0,0,20660935,14213109,0,1
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
0,0,20660935,14213109,0,0
