Data	Narastająco	Łącznydziennyprzyrost
04.03.2020	1	1
05.03.2020	1	0
06.03.2020	5	4
07.03.2020	6	1
08.03.2020	11	5
09.03.2020	17	6
10.03.2020	22	5
11.03.2020	31	9
12.03.2020	51	20
13.03.2020	68	17
14.03.2020	104	36
15.03.2020	125	21
16.03.2020	177	52
17.03.2020	238	61
18.03.2020	287	49
19.03.2020	355	68
20.03.2020	425	70
21.03.2020	536	111
22.03.2020	634	98
23.03.2020	749	115
24.03.2020	901	152
25.03.2020	1051	150
26.03.2020	1221	170
27.03.2020	1389	168
28.03.2020	1638	249
29.03.2020	1862	224
30.03.2020	2055	193
31.03.2020	2311	256
01.04.2020	2554	243
02.04.2020	2946	392
03.04.2020	3383	437
04.04.2020	3627	244
05.04.2020	4102	475
06.04.2020	4413	311
07.04.2020	4848	435
08.04.2020	5205	357
09.04.2020	5575	370
10.04.2020	5955	380
11.04.2020	6356	401
12.04.2020	6674	318
13.04.2020	6934	260
14.04.2020	7202	268
15.04.2020	7582	380
16.04.2020	7918	336
17.04.2020	8379	461
18.04.2020	8742	363
19.04.2020	9287	545
20.04.2020	9593	306
21.04.2020	9856	263
22.04.2020	10169	313
23.04.2020	10511	342
24.04.2020	10892	381
25.04.2020	11273	381
26.04.2020	11617	344
27.04.2020	11902	285
28.04.2020	12218	316
29.04.2020	12640	422
30.04.2020	12877	300
01.05.2020	13105	228
02.05.2020	13375	270
03.05.2020	13693	318
04.05.2020	14006	313
05.05.2020	14431	425
06.05.2020	14740	311
07.05.2020	15047	324
08.05.2020	15366	340
09.05.2020	15651	288
10.05.2020	15996	345
11.05.2020	16326	330
12.05.2020	16921	595
13.05.2020	17204	322
14.05.2020	17615	411
15.05.2020	18016	401
16.05.2020	18257	241
17.05.2020	18529	272
18.05.2020	18885	356
19.05.2020	19268	383
20.05.2020	19739	471
21.05.2020	20143	405
22.05.2020	20619	476
23.05.2020	20931	316
24.05.2020	21326	395
25.05.2020	21631	341
26.05.2020	22074	445
27.05.2020	22473	399
28.05.2020	22825	352
29.05.2020	23158	333
30.05.2020	23571	416
31.05.2020	23786	219
01.06.2020	24165	380
02.06.2020	24395	236
03.06.2020	24687	292
04.06.2020	25048	361
05.06.2020	25410	362
06.06.2020	25986	576
07.06.2020	26561	575
08.06.2020	27160	599
09.06.2020	27560	400
10.06.2020	27842	282
11.06.2020	28201	359
12.06.2020	28577	376
13.06.2020	29017	440
14.06.2020	29392	375
15.06.2020	29788	396
16.06.2020	30195	407
17.06.2020	30701	506
18.06.2020	31015	314
19.06.2020	31316	352
20.06.2020	31620	309
21.06.2020	31931	311
22.06.2020	32227	296
23.06.2020	32527	300
24.06.2020	32821	294
25.06.2020	33119	298
26.06.2020	33395	285
27.06.2020	33714	319
28.06.2020	33907	193
29.06.2020	34154	247
30.06.2020	34393	239
01.07.2020	34775	382
02.07.2020	35146	371
03.07.2020	35405	259
04.07.2020	35719	314
05.07.2020	35950	231
06.07.2020	36155	205
07.07.2020	36412	257
08.07.2020	36689	277
09.07.2020	36951	262
10.07.2020	37216	265
11.07.2020	37521	305
12.07.2020	37891	370
13.07.2020	38190	299
14.07.2020	38457	267
15.07.2020	38721	264
16.07.2020	39054	333
17.07.2020	39407	353
18.07.2020	39746	339
19.07.2020	40104	358
20.07.2020	40383	279
21.07.2020	40782	399
22.07.2020	41162	380
23.07.2020	41580	418
24.07.2020	42038	458
25.07.2020	42622	584
26.07.2020	43065	443
27.07.2020	43402	337
28.07.2020	43904	502
29.07.2020	44416	512
30.07.2020	45031	615
31.07.2020	45688	657
01.08.2020	46346	658
02.08.2020	46894	548
03.08.2020	47469	575
04.08.2020	48149	680
05.08.2020	48789	640
06.08.2020	49515	726
07.08.2020	50324	809
08.08.2020	51167	843
09.08.2020	51791	624
10.08.2020	52410	619
11.08.2020	52961	551
12.08.2020	53676	715
13.08.2020	54487	811
14.08.2020	55312	832
15.08.2020	56090	771
16.08.2020	56684	594
17.08.2020	57279	595
18.08.2020	57876	597
19.08.2020	58611	735
20.08.2020	59378	767
21.08.2020	60281	903
22.08.2020	61181	900
23.08.2020	61762	581
24.08.2020	62310	548
25.08.2020	63073	763
26.08.2020	63802	729
27.08.2020	64689	887
28.08.2020	65480	791
29.08.2020	66239	759
30.08.2020	66870	631
31.08.2020	67372	502
01.09.2020	67922	550
02.09.2020	68517	595
03.09.2020	69129	612
04.09.2020	69820	691
05.09.2020	70387	567
06.09.2020	70824	437
07.09.2020	71126	302
08.09.2020	71526	400
09.09.2020	71947	421
10.09.2020	72453	506
11.09.2020	73047	594
12.09.2020	73650	603
13.09.2020	74152	502
14.09.2020	74529	377
15.09.2020	75134	605
16.09.2020	75734	600
17.09.2020	76571	837
18.09.2020	77328	757
19.09.2020	78330	1002
20.09.2020	79240	910
21.09.2020	79988	748
22.09.2020	80699	711
23.09.2020	81673	974
24.09.2020	82809	1136
25.09.2020	84396	1587
26.09.2020	85980	1584
27.09.2020	87330	1350
28.09.2020	88636	1306
29.09.2020	89962	1326
30.09.2020	91514	1552
01.10.2020	93481	1967
02.10.2020	95773	2292
03.10.2020	98140	2367
04.10.2020	100074	1934
05.10.2020	102080	2006
06.10.2020	104316	2236
07.10.2020	107319	3003
08.10.2020	111599	4280
09.10.2020	116338	4739
10.10.2020	121638	5300
11.10.2020	125816	4178
12.10.2020	130210	4394
13.10.2020	135278	5068
14.10.2020	141804	6526
15.10.2020	149903	8099
16.10.2020	157608	7705
17.10.2020	167230	9622
18.10.2020	175766	8536
19.10.2020	183243	7482
20.10.2020	192539	9291
21.10.2020	202579	10040
22.10.2020	214686	12107
23.10.2020	228318	13632
24.10.2020	241946	13628
25.10.2020	253688	11742
26.10.2020	263929	10241
27.10.2020	280229	16300
28.10.2020	299049	18820
29.10.2020	319205	20156
30.10.2020	340834	21628
31.10.2020	362731	21897
01.11.2020	379902	17171
02.11.2020	395480	15578
03.11.2020	414844	19364
04.11.2020	439536	24692
05.11.2020	466679	27143
06.11.2020	493765	27086
07.11.2020	521640	27875
08.11.2020	546425	24785
09.11.2020	568138	21713
10.11.2020	593592	25484
11.11.2020	618813	25211
12.11.2020	641496	22683
13.11.2020	665547	24051
14.11.2020	691118	25571
15.11.2020	712972	21854
16.11.2020	733788	20816
17.11.2020	752940	19152
18.11.2020	772823	19883
19.11.2020	796798	23975
20.11.2020	819262	22464
21.11.2020	843475	24213
22.11.2020	861331	18467
23.11.2020	876333	15002
24.11.2020	909066	10139
25.11.2020	924428	15362
26.11.2020	941112	16687
27.11.2020	958416	17060
28.11.2020	973593	15178
29.11.2020	985075	11483
30.11.2020	990811	5733
01.12.2020	999924	9105
02.12.2020	1013747	13855
03.12.2020	1028610	14838
04.12.2020	1041846	13239
05.12.2020	1054273	12430
06.12.2020	1063449	9176
07.12.2020	1067870	4423
08.12.2020	1076180	8312
09.12.2020	1088346	12168
10.12.2020	1102096	13749
11.12.2020	1115201	13110
12.12.2020	1126700	11497
13.12.2020	1135676	8977
14.12.2020	1140572	4896
15.12.2020	1147446	6907
16.12.2020	1159901	12454
17.12.2020	1171854	11953
18.12.2020	1182864	11013
19.12.2020	1194110	11267
20.12.2020	1202700	8594
21.12.2020	1207333	4633
22.12.2020	1214525	7192
23.12.2020	1226883	12361
24.12.2020	1239998	13115
25.12.2020	1249079	9077
26.12.2020	1253957	5048
27.12.2020	1257799	3678
28.12.2020	1261010	3211
29.12.2020	1268634	7914
30.12.2020	1281414	12955
31.12.2020	1294878	13397
01.01.2021	1305774	11008
02.01.2021	1312780	6945
03.01.2021	1318562	5739
04.01.2021	1322947	4432
05.01.2021	1330543	7624
06.01.2021	1344763	14151
07.01.2021	1356882	12054
08.01.2021	1365645	8790
09.01.2021	1385522	9410
10.01.2021	1390385	4622
11.01.2021	1395779	5569
12.01.2021	1404905	9053
13.01.2021	1414362	9436
14.01.2021	1422320	7795
15.01.2021	1429612	7412
16.01.2021	1435582	6055
17.01.2021	1438914	3271
18.01.2021	1443804	4835
19.01.2021	1450747	6919
20.01.2021	1457755	7152
21.01.2021	1464448	6640
22.01.2021	1470879	6322
23.01.2021	1475445	4683
24.01.2021	1478119	2419
25.01.2021	1482722	4604
26.01.2021	1489512	6789
27.01.2021	1496665	7156
28.01.2021	1502810	6144
29.01.2021	1508674	5864
30.01.2021	1513385	4706
31.01.2021	1176904	2503
01.02.2021	1520215	4326
02.02.2021	1527016	6802
03.02.2021	1533511	6496
04.02.2021	1539564	6053
05.02.2021	1545530	6026
06.02.2021	1550255	4728
07.02.2021	1552686	2431
08.02.2021	1556685	4029
09.02.2021	1563645	6930
10.02.2021	1570658	7008
11.02.2021	1577036	6379
12.02.2021	1583621	6586
13.02.2021	1588955	5334
14.02.2021	1591497	2543
15.02.2021	1596673	5178
16.02.2021	1605372	8694
17.02.2021	1614446	9073
18.02.2021	1623218	8777
19.02.2021	1631727	8510
20.02.2021	1638767	7038
21.02.2021	1642658	3890
22.02.2021	1648962	6310
23.02.2021	1661109	12146
24.02.2021	1673252	12142
25.02.2021	1684788	11539
26.02.2021	1696885	12100
27.02.2021	1706986	10099
28.02.2021	1711772	4786
01.03.2021	1719708	7937
02.03.2021	1735406	15698
03.03.2021	1735406	15698
